name,E_O(eV),E_H (eV),E_CO2 (eV),E_CO (eV)
Ag_Co,0.420556,0.29126,-0.2154,-2.33778
Ag_Cr,-1.29417,-0.06932,-0.55266,-2.20352
Ag_Fe,-0.09741,-0.32693,-0.4661,-2.58491
Ag_Ir,1.097783,-0.70461,0.0603,-2.55684
Ag_Mn,-0.69349,-0.27392,-0.6392,-2.59237
Ag_Mo,-1.42292,-0.29354,-0.7882,-2.56587
Ag_Os,-0.16917,-0.81183,-0.4401,-3.0549
Ag_Re,-1.27865,-0.71325,-0.7397,-3.08243
Ag_Ru,0.401478,-0.49323,-0.3515,-2.69537
Ag_Ta,-2.14492,-0.30886,-1.082,-2.15923
Ag_Tc,-0.80362,-0.45615,-0.6179,-2.81404
Ag_V,-1.59849,-0.06047,-0.8351,-2.00839
Ag_W,-2.04263,-0.50969,-1.0117,-2.77271
Au_Co,1.265792,-0.07887,0.3733,-1.97175
Au_Cr,-0.47431,-1.83212,0.105581,0.29772
Au_Fe,0.73728,-0.1428,0.2343,-2.17984
Au_Ir,1.52641,-2.19685,-0.4635,0.699409
Au_Mn,0.061009,-0.10269,0.1467,-2.17424
Au_Mo,-0.65965,-1.94005,0.000908,0.307236
Au_Os,0.428914,-2.55049,-0.55709,0.379894
Au_Re,-0.52798,-2.41719,-0.46199,0.310027
Au_Ru,0.922749,-0.38067,0.247,-2.36111
Au_Ta,-1.07215,-1.54017,0.211358,0.277347
Au_Tc,-0.19715,-0.3443,0.1288,-2.3868
Au_V,-0.84224,0.213106,0.122,-1.64636
Au_W,-1.17238,-2.09188,-0.19484,0.212967
Cu_Co,-0.14784,-0.21505,-0.4628,-2.3666
Cu_Cr,-1.16078,-0.06876,-0.865,-2.21112
Cu_Fe,-0.51006,-0.2156,-0.6722,-2.54118
Cu_Ir,0.407833,-0.58578,-0.2194,-2.5097
Cu_Mn,-0.64865,-0.15586,-0.7911,-2.47534xwx 
Cu_Mo,-1.25155,-0.73485,-0.7996,-2.23833
Cu_Os,-0.13151,-0.60824,-0.5394,-2.86272
Cu_Re,-1.15528,-0.50853,-0.7315,-2.78193
Cu_Ru,0.388724,-0.30908,-0.5058,-2.54854
Cu_Ta,-1.77647,-0.2489,-1.1292,-1.86769
Cu_Tc,-0.74554,-0.25052,-0.6805,-2.54647
Cu_V,-1.40356,0.027146,-0.9254,-1.81855
Cu_W,-1.78465,-0.39129,-0.9721,-2.43821
Ni_Co,1.216609,-0.20635,-0.07,-2.15709
Ni_Cr,-0.14151,0.163051,-0.4421,-1.61682
Ni_Fe,0.669756,-0.69144,-0.2006,-4.42599
Ni_Ir,1.289543,-0.05726,-0.1664,-1.94133
Ni_Mn,0.163913,0.251494,-0.1165,-1.42178
Ni_Mo,-0.23976,-0.39497,0.0136,-2.17313
Ni_Os,0.331197,-0.15948,-0.305,-1.80423
Ni_Re,-0.31458,-0.20116,-0.0658,-2.10421
Ni_Ru,0.753134,0.393254,-0.2104,-1.14839
Ni_Ta,-0.25836,-0.01444,-0.0477,-1.77172
Ni_Tc,-0.05907,0.48666,-0.0934,-1.26572
Ni_V,-0.11816,0.123517,-0.0745,-1.48302
Ni_W,-0.57346,0.005265,0.05501,-1.85752
Pt_Co,0.630747,0.241697,0.20854,-1.4189
Pt_Cr,0.113354,-0.0413,0.157075,-1.87653
Pt_Fe,0.989116,-0.47454,0.155515,-2.24906
Pt_Ir,1.464066,0.058381,0.134021,-1.70884
Pt_Mn,0.466366,0.370604,-0.00904,-1.27187
Pt_Mo,-0.03901,-0.37729,0.077576,-2.10756
Pt_Os,0.4837,-0.12962,0.175927,-1.63897
Pt_Re,-0.16,-0.14679,0.164007,-2.02198
Pt_Ru,0.938547,0.738235,-0.07953,-0.98884
Pt_Ta,0.167152,0.031458,0.064424,-1.63945
Pt_Tc,0.085934,0.672037,0.119439,-1.13002
Pt_V,0.180359,0.288158,0.031656,-1.32266
Pt_W,-0.31887,0.404726,0.174453,-1.4233
Co_Co,0.022756,0.201027,-0.15438,-1.67442
Co_Cr,0.349613,0.012469,0.075265,-1.83575
Co_Fe,1.407772,0.495524,0.208555,-0.68253
Co_Ir,2.799158,0.964892,0.210821,-0.00985
Co_Mn,3.201122,0.796056,-0.17653,-0.74417
Co_Mo,0.445731,0.447167,0.070343,-1.27517
Co_Os,-0.0944,-0.03029,0.210299,-1.69368
Co_Re,1.904573,0.757693,0.222683,-0.2341
Co_Ru,3.774922,0.720482,-0.21528,-0.8067
Co_Ta,0.57956,0.432499,-0.03072,-1.08013
Co_Tc,-0.25327,0.070998,0.255478,-1.63852
Co_V,-0.1586,-0.12565,0.211724,-1.83119
Co_W,0.551225,-0.12565,0.211724,-1.83119
