,formula_pretty,transition metal fraction,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,band center,MagpieData mean Number,MagpieData mean MendeleevNumber,MagpieData mean AtomicWeight,MagpieData mean MeltingT,MagpieData mean Column,MagpieData mean Row,MagpieData mean CovalentRadius,MagpieData mean Electronegativity,MagpieData mean NsValence,MagpieData mean NpValence,MagpieData mean NdValence,MagpieData mean NfValence,MagpieData mean NValence,MagpieData mean NsUnfilled,MagpieData mean NpUnfilled,MagpieData mean NdUnfilled,MagpieData mean NfUnfilled,MagpieData mean NUnfilled,MagpieData mean GSvolume_pa,MagpieData mean GSbandgap,MagpieData mean GSmagmom,MagpieData mean SpaceGroupNumber
0,Co,1,0.222222222,0,0.777777778,0,4.270833333,27,58,58.933195,1768,9,4,126,1.88,2,0,7,0,9,0,0,3,0,3,10.245,0,1.5484712,194
1,Cr,1,0.166666667,0,0.833333333,0,3.716832504,24,49,51.9961,2180,6,4,139,1.66,1,0,5,0,6,1,0,5,0,6,11.19,0,0,229
2,Fe,1,0.25,0,0.75,0,4.032960199,26,55,55.845,1811,8,4,132,1.83,2,0,6,0,8,0,0,4,0,4,10.73,0,2.1106628,229
3,Ir,1,0.086956522,0,0.304347826,0.608695652,5.343076285,77,60,192.217,2739,9,6,141,2.2,2,0,7,14,23,0,0,3,0,3,14.21,0,0,225
4,Mn,1,0.285714286,0,0.714285714,0,3.717350746,25,52,54.938045,1519,7,4,139,1.55,2,0,5,0,7,0,0,5,0,5,10.48758621,0,0.000310121,217
5,Mo,1,0.166666667,0,0.833333333,0,3.918946932,42,50,95.96,2896,6,5,154,2.16,1,0,5,0,6,1,0,5,0,6,15.69,0,0,229
6,Os,1,0.090909091,0,0.272727273,0.636363636,4.903088723,76,57,190.23,3306,8,6,144,2.2,2,0,6,14,22,0,0,4,0,4,14.09,0,0,194
7,Re,1,0.095238095,0,0.238095238,0.666666667,4.01378524,75,54,186.207,3459,7,6,151,1.9,2,0,5,14,21,0,0,5,0,5,14.655,0,0,194
8,Ru,1,0.125,0,0.875,0,4.205534826,44,56,101.07,2607,8,5,146,2.2,1,0,7,0,8,1,0,3,0,4,13.51,0,0,194
9,Ta,1,0.105263158,0,0.157894737,0.736842105,4.104477612,73,48,180.94788,3290,5,6,170,1.5,2,0,3,14,19,0,0,7,0,7,18.12,0,0,229
10,Tc,1,0.285714286,0,0.714285714,0,3.912728027,43,53,98,2430,7,5,147,1.9,2,0,5,0,7,0,0,5,0,5,14.285,0,0,194
11,V,1,0.4,0,0.6,0,3.635468491,23,46,50.9415,2183,5,4,153,1.63,2,0,3,0,5,0,0,7,0,7,13.01,0,0,229
12,W,1,0.1,0,0.2,0.7,4.397802653,74,51,183.84,3695,6,6,162,2.36,2,0,4,14,20,0,0,6,0,6,16.05,0,0,229
